"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"52",62362,146260,1749.29754819283,180.134738158409,6547,139713,2227,60135,10926.5,32967.5,102382,69212,74123,2925,58793,2829,740,204764,34716.7975481928,83898,0.409730226016292,4320,0.0210974585376336,1569.16281003442,0.00766327484340225,23610.1628100344,0.115304266423954
"53",62550,146260,1742.78323195032,176.698864200973,6597,139663,2276,60274,11462,33053.5,102382,69205,74271,2784,59083,2774,693,204764,34796.2832319503,83710,0.408812095876228,4321,0.0211023422085914,1566.08436774935,0.00764824074421944,23157.5843677494,0.113094022229246
"54",62275,146260,1744.07086202168,177.492133370339,6397,139863,2323,59952,11391.5,32300.5,102382,69014,74383,2863,58728,2850,697,204764,34044.5708620217,83985,0.410155105389619,4074,0.0198960754820183,1566.57872865134,0.00765065504019915,22475.5787286513,0.109763331096537
"55",62434,146260,1747.00797657432,180.358867203796,6563,139697,2253,60181,11581.5,32199.5,102382,69069,74329,2862,58840,2856,738,204764,33946.5079765743,83826,0.409378601707331,4310,0.0210486218280557,1566.64910937053,0.00765099875647343,22184.6491093705,0.108342526564096
"56",62389,146260,1743.45995925052,177.370214493209,6549,139711,2247,60142,11249.5,32665.5,102382,69044,74443,2773,58868,2836,685,204764,34408.9599592505,83871,0.409598366900432,4302,0.0210095524603934,1566.08974475731,0.00764826700375705,22982.0897447573,0.112236964235692
"57",62302,146260,1744.77069454175,176.125030191892,6462,139798,2260,60042,11605,32509,102382,68985,74403,2872,58835,2784,683,204764,34253.7706945418,83958,0.410023246273759,4202,0.0205211853646149,1568.64566434986,0.00766074927404163,22472.6456643499,0.109749006975591
"58",62154,146260,1743.33930417312,175.926792064353,6546,139714,2285,59869,11224.5,33025,102382,69049,74361,2850,58694,2757,703,204764,34768.3393041731,84106,0.410746029575511,4261,0.0208093219511242,1567.41251210877,0.00765472696425527,23367.9125121088,0.114121195679459
"59",62187,146260,1744.87880877366,179.930911584916,6702,139558,2225,59962,11194.5,33842,102382,69124,74287,2849,58666,2755,766,204764,35586.8788087737,84073,0.410584868433904,4477,0.0218641948780059,1564.94789718875,0.00764269059594824,24212.4478971887,0.118245628612396
"60",62142,146260,1737.8540019015,179.761716564379,6461,139799,2308,59834,11494,32429.5,102382,69276,74169,2815,58556,2844,742,204764,34167.3540019015,84118,0.410804633627005,4153,0.0202818854876834,1558.09228533713,0.00760921004345063,22493.5922853371,0.10985130338017
"61",62334,146260,1753.13603286981,176.794097687931,6636,139624,2235,60099,11320.5,32810,102382,68726,74613,2921,58834,2789,711,204764,34563.1360328698,83926,0.40986696880311,4401,0.0214930358852142,1576.34193518188,0.00769833532838722,23065.8419351819,0.11264598237572
"62",62295,146260,1737.99134641682,176.853250765596,6634,139626,2319,59976,11716.5,33182,102382,69466,73988,2806,58842,2769,684,204764,34919.9913464168,83965,0.410057431970464,4315,0.0210730401828446,1561.13809565122,0.0076240847788245,23026.6380956512,0.11245452372317
"63",62308,146260,1744.18895768213,175.993495915388,6573,139687,2323,59985,11728.5,32979.5,102382,69175,74155,2930,58813,2798,697,204764,34723.6889576821,83952,0.409993944248012,4250,0.0207556015705886,1568.19546176674,0.00765855063276133,22819.1954617667,0.111441442156662
"64",61976,146260,1749.44389186607,178.415062594381,6480,139780,2249,59727,11229.5,32032,102382,68875,74531,2854,58439,2809,728,204764,33781.4438918661,84284,0.411615323005997,4231,0.0206628118223907,1571.02882927169,0.00767238786735799,22373.5288292717,0.109264952966692
"65",62443,146260,1740.90646630957,179.256357693613,6553,139707,2278,60165,11367,33063.5,102382,69197,74124,2939,58910,2817,716,204764,34804.4064663096,83817,0.409334648668711,4275,0.0208776933445332,1561.65010861596,0.00762658528167042,23258.150108616,0.113585152217265
"66",62272,146260,1752.66541981344,173.632178920606,6612,139648,2180,60092,10926,32928,102382,68729,74573,2958,58868,2729,675,204764,34680.6654198134,83988,0.410169756402493,4432,0.0216444296849056,1579.03324089284,0.00771147877992634,23581.0332408928,0.115162007193124
"67",62199,146260,1741.02155234157,179.440597437742,6670,139590,2283,59916,11021.5,33564,102382,69197,74229,2834,58640,2820,739,204764,35305.0215523416,84061,0.410526264382411,4387,0.0214246644918052,1561.58095490383,0.00762624755769486,24104.0809549038,0.117716400123576
"68",62233,146260,1740.56321470233,177.210451590207,6663,139597,2285,59948,11448.5,33009.5,102382,69149,74242,2869,58710,2828,695,204764,34750.0632147023,84027,0.410360219569846,4378,0.0213807114531851,1563.35276311213,0.00763490048598448,23124.3527631121,0.112931730006799
"69",62084,146260,1740.46093816428,176.492035571526,6482,139778,2260,59824,11212,32228,102382,69432,73950,2878,58596,2788,700,204764,33968.4609381643,84176,0.411087886542556,4222,0.0206188587837706,1563.96890259276,0.00763790950847199,22579.9689025928,0.110273138357293
"70",62439,146260,1743.1565616882,177.190745985843,6613,139647,2236,60203,11430,32963.5,102382,68981,74477,2802,58963,2793,683,204764,34706.6565616882,83821,0.409354183352542,4377,0.0213758277822273,1565.96581570236,0.00764766177503056,23099.4658157024,0.112810190344506
"71",61713,146260,1736.2442944168,175.437847009967,6556,139704,2284,59429,11295,33085,102382,69109,74384,2767,58320,2661,732,204764,34821.2442944168,84547,0.412899728467895,4272,0.0208630423316599,1560.80644740683,0.00762246511792519,23350.8064474068,0.114037655288072
"72",62213,146260,1745.67117030267,175.190681408937,6451,139809,2301,59912,11474.5,31824.5,102382,68887,74460,2913,58783,2742,688,204764,33570.1711703027,84047,0.410457892989002,4150,0.02026723447481,1570.48048889373,0.00766970995337915,21920.4804888937,0.107052413944315
"73",62443,146260,1742.31121732404,177.155593386411,6643,139617,2312,60131,11659,33168.5,102382,68852,74545,2863,58959,2786,698,204764,34910.811217324,83817,0.409334648668711,4331,0.0211511789181692,1565.15562393763,0.00764370506503892,23074.6556239376,0.112689025531527
"74",62080,146260,1744.5862283681,176.54452139338,6673,139587,2241,59839,11113.5,33411.5,102382,69061,74359,2840,58591,2782,707,204764,35156.0862283681,84180,0.411107421226387,4432,0.0216444296849056,1568.04170697472,0.00765779974494893,23866.0417069747,0.116553894761651
"75",62130,146260,1736.11208025233,177.799380199245,6562,139698,2302,59828,11558,32810,102382,69324,74142,2794,58590,2836,704,204764,34546.1120802523,84130,0.410863237678498,4260,0.0208044382801664,1558.31270005308,0.00761028647639763,22810.3127000531,0.111398061671256
"76",62286,146260,1739.99336485961,179.393482815715,6463,139797,2261,60025,11217.5,32242.5,102382,69402,73986,2872,58719,2859,708,204764,33982.4933648596,83974,0.410101385009084,4202,0.0205211853646149,1560.5998820439,0.00762145632066135,22585.5998820439,0.110300638208102
"77",62288,146260,1739.21085708217,177.955007512166,6573,139687,2252,60036,10945,32619.5,102382,69202,74198,2860,58767,2788,733,204764,34358.7108570822,83972,0.410091617667168,4321,0.0211023422085914,1561.25584957,0.00762465985021783,23235.75584957,0.113475786024741
"78",62487,146260,1742.98283550986,177.067551158642,6535,139725,2295,60192,11361.5,32537.5,102382,69049,74419,2792,59015,2782,690,204764,34280.4828355099,83773,0.409119767146569,4240,0.0207067648610107,1565.91528435122,0.00764741499653853,22741.9152843512,0.111064031198605
"79",62158,146260,1734.68181391881,175.372972974338,6521,139739,2289,59869,11274.5,32474.5,102382,69394,74074,2792,58761,2709,688,204764,34209.1818139188,84102,0.41072649489168,4232,0.0206676954933484,1559.30884094447,0.00761515130073877,22759.3088409445,0.111148975605792
"80",61987,146260,1742.95087766498,177.591432468249,6660,139600,2378,59609,11623,33348,102382,69233,74206,2821,58425,2861,701,204764,35090.950877665,84273,0.411561602625462,4282,0.0209118790412377,1565.35944519673,0.00764470046100257,23290.3594451967,0.113742452018894
"81",62343,146260,1738.15778278119,176.078314185663,6743,139517,2278,60065,11294,33728.5,102382,69497,73902,2861,58903,2732,708,204764,35466.6577827812,83917,0.40982301576449,4465,0.0218055908265125,1562.07946859552,0.00762868213453304,23996.5794685955,0.117191398236973
"82",62373,146260,1743.33340153341,176.442551325048,6678,139582,2277,60096,11370.5,33535,102382,69117,74200,2943,58951,2727,695,204764,35278.3334015334,83887,0.409676505635756,4401,0.0214930358852142,1566.89085020836,0.00765217933918248,23731.3908502084,0.11589630428302
"83",62553,146260,1747.28234690889,178.009142080012,6644,139616,2336,60217,11758,33308,102382,69045,74389,2826,59086,2743,724,204764,35055.2823469089,83707,0.408797444863355,4308,0.0210388544861401,1569.27320482888,0.00766381397525385,23119.2732048289,0.112906923115532
"84",61788,146260,1744.19676203696,176.676220624989,6465,139795,2280,59508,11414,32254.5,102382,69058,74378,2824,58303,2755,730,204764,33998.696762037,84472,0.412533453146061,4185,0.0204381629583325,1567.52054141197,0.0076552545438259,22408.020541412,0.109433399139556
