"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"29",70466,146260,1748.93223552025,257.600526307166,6544,139716,2553,67913,12895.5,32757,102382,69009,74337,2914,63857,5590,1019,102382,34505.9322355202,75794,0.740305913148796,3991,0.0389814615850443,1491.33170921308,0.0145663467134172,21352.8317092131,0.208560408169533
"30",70710,146260,1745.4828633794,258.190654168233,6623,139637,2398,68312,11995,32721.5,102382,69183,74122,2955,64066,5603,1041,102382,34466.9828633794,75550,0.737922681721396,4225,0.0412670195932879,1487.29220921117,0.0145268915357306,22213.7922092112,0.216969703748815
"31",70619,146260,1743.07265116255,255.742572509089,6495,139765,2486,68133,12309,32529.5,102382,69121,74322,2817,64058,5552,1009,102382,34272.5726511625,75641,0.738811509835713,4009,0.0391572737395245,1487.33007865346,0.0145272614195216,21707.8300786535,0.212027798623327
"32",70667,146260,1742.09369138881,256.140291715023,6607,139653,2421,68246,12042.5,33094.5,102382,69149,74210,2901,64119,5531,1017,102382,34836.5936913888,75593,0.738342677423766,4186,0.0408860932585806,1485.95339967378,0.0145138149252191,22537.9533996738,0.220135896931822
"33",70898,146260,1733.7584130868,259.739313104037,6517,139743,2511,68387,12518.5,32699.5,102382,69367,74131,2762,64255,5577,1066,102382,34433.2584130868,75362,0.736086421441269,4006,0.0391279717137778,1474.01909998277,0.0143972485396141,21655.0190999828,0.211511975737754
"34",70877,146260,1743.85310035864,254.307866828864,6643,139617,2573,68304,12954.5,33172.5,102382,69157,74193,2910,64360,5532,985,102382,34916.3531003586,75383,0.736291535621496,4070,0.0397530815963744,1489.54523352978,0.0145488975945945,21707.5452335298,0.212025016443611
"35",70843,146260,1740.01611016324,257.957240634417,6629,139631,2506,68337,12524,33415.5,102382,69228,74134,2898,64295,5479,1069,102382,35155.5161101632,75417,0.736623625246626,4123,0.0402707507178996,1482.05886952883,0.0144757757176928,22373.5588695288,0.218530199346846
"36",70395,146260,1739.31513443829,254.178147977935,6585,139675,2511,67884,12718.5,32900.5,102382,69199,74285,2776,63865,5553,977,102382,34639.8151344383,75865,0.740999394424801,4074,0.0397921509640367,1485.13698646035,0.0145058407382192,21667.1369864604,0.211630335278275
"37",70416,146260,1737.50527524547,259.787018435291,6503,139757,2361,68055,11572.5,32563.5,102382,69362,74043,2855,63810,5520,1086,102382,34301.0052752455,75844,0.740794280244574,4142,0.0404563302142955,1477.71825681018,0.0144333794691467,22468.7182568102,0.2194596536189
"38",70467,146260,1732.61940809084,256.525100356551,6571,139689,2507,67960,12434.5,32682.5,102382,69216,74275,2769,63859,5593,1015,102382,34415.1194080908,75793,0.74029614580688,4064,0.0396944775448809,1476.09430773429,0.014417517803269,21724.0943077343,0.212186656909753
"39",70654,146260,1752.02174223624,251.393266564238,6685,139575,2563,68091,12785.5,33949.5,102382,68926,74404,2930,64202,5537,915,102382,35701.5217422362,75606,0.738469652868668,4122,0.0402609833759841,1500.628475672,0.0146571514101307,22664.628475672,0.221373175711277
